Categoría,Subcategoria,APLICA EN LAS METAS ACTUALES,Fecha,Manifiesto,Nombre de Residuo,Peso Disposición Final (kg) ,Canal o Mecanismo de recolección,Tipo de Gestión (proceso),certificado ,Gestor ,Centro de acopio,Razón social del generador,Nit,Responsable del envío,Correo ,Dirección,Departamento,Ciudad,Latitud,Longitud,utm_x,utm_y,utm_zona
1. Aparatos electrodomésticos,1.9 Herramientas para el hogar,SI,2024-10-01,10222,TALADRADORAS,2.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE SANTA FE,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 21 5 74,"BOGOTA, D. C.","BOGOTA, D. C.",4.606511,-74.070116,603145.29,509236.1,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-09-12,9699,COMPUTADORES TODO EN UNO,488.8,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE SUBA,900836968-7,LEONARDO BENAVIDES,test@signify.com,CL 146CBIS 90 57,"BOGOTA, D. C.","BOGOTA, D. C.",4.740668,-74.084068,601578.25,524065.35,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-12-26,9427,OTROS GRANDES APARATOS UTILIZADOS PARA COCINAR Y EN OTROS PROCESOS DE TRANSFORMACION DE LOS ALIMENTOS. APARATOS DE CALEFACCION ELECTRICOS,525.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE SUMAPAZ,900836968-7,LEONARDO BENAVIDES,test@signify.com,CL 19 S 69C 17,"BOGOTA, D. C.","BOGOTA, D. C.",4.617727,-74.130792,596412.9,510467.54,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-03-26,10377,"OTROS PRODUCTOS Y APARATOS PARA LA RECOGIDA, ALMACENAMIENTO, PROCESAMIENTO, PRESENTACIÓN O COMUNICACIÓN DE LA INFORMACIÓN DE MANERA ELECTRÓNICA",2.0,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALKOSTO AV. 68,900836968-7,LEONARDO BENAVIDES,test@signify.com,AC 72 72 43,"BOGOTA, D. C.","BOGOTA, D. C.",4.687533,-74.095546,600312.83,518189.54,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-08-05,9980,TELÉFONOS CONVENCIONALES,20.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALKOSTO CALLE 170,830143447-3,Ana Maria Suarez,test@portal80.com.co,KR 69 170 15,"BOGOTA, D. C.","BOGOTA, D. C.",4.759291,-74.063352,603873.1,526127.24,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-07-18,11551,Sanduchera / Tostadora,6.8,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALKOSTO RICAURTE (CRA 30),900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 30 10 77,"BOGOTA, D. C.","BOGOTA, D. C.",4.610409,-74.094761,600410.82,509663.51,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-10-31,9158,TELEFONOS INALAMBRICOS,6.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ALKOSTO S.A.,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,AV Boyacá 15 - 98,"BOGOTA, D. C.","BOGOTA, D. C.",4.64649,-74.12868,596643.28,513647.58,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-08-22,10506,"PERIFERICOS (MOUSE, TECLADO, AUDIFONOS, CAMARAS Y OTROS)",22.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ALKOSTO SANTA BARBARA,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 120 A 7 14,"BOGOTA, D. C.","BOGOTA, D. C.",4.69752,-74.031469,607418.73,519303.13,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-07-19,11544,APARATOS DE GRABACION DE VIDEO,3.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ALKOSTO VENECIA,900836968-7,LEONARDO BENAVIDES,test@signify.com,Dg 45 c Sur 51 90,"BOGOTA, D. C.","BOGOTA, D. C.",4.596065,-74.13902,595503.07,508071.71,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-09-16,11002,TELEFONOS INALAMBRICOS,5.56,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,Allmark Comercial de Colombia S.A.,900836968-7,LEONARDO BENAVIDES,test@signify.com,AK 30 78 20,"BOGOTA, D. C.","BOGOTA, D. C.",4.671932,-74.069353,603220.43,516468.62,18N
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-12-10,9678,APARATOS DE ALUMBRADO,23.8,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,Allmark Comercial de Colombia S.A.,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,AK 30 70 48,"BOGOTA, D. C.","BOGOTA, D. C.",4.665441,-74.074944,602601.21,515750.21,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-09-25,10604,SERVIDORES,3.0,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,Allmark Comercial de Colombia S.A.,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,AK 15 106 72,"BOGOTA, D. C.","BOGOTA, D. C.",4.691491,-74.045146,605902.59,518634.52,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-03-05,10959,"HERRAMIENTAS PARA ROCIAR, ESPARCIR, PROPAGAR O APLICAR OTROS TRATAMIENTOS CON SUSTANCIAS LÍQUIDAS O GASEOSAS POR OTROS MEDIOS",988.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,Allmark Comercial de Colombia S.A.,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,AC 127 20 79,"BOGOTA, D. C.","BOGOTA, D. C.",4.705964,-74.051277,605220.37,520233.62,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-07-04,11700,CD,19.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Allmark Comercial De Colombia S.A.,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,KR 32 17 09,"BOGOTA, D. C.","BOGOTA, D. C.",4.617669,-74.091717,600747.48,510466.54,18N
1. Aparatos electrodomésticos,1.1 Cocinas y hornos,SI,2024-04-06,11267,HORNOS ELECTRICOS,630.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,Allmark Comercial De Colombia S.A.,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AC 116 70C 65,"BOGOTA, D. C.","BOGOTA, D. C.",4.699015,-74.073399,602767.68,519462.1,18N
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-04-23,9212,TUBOS FLUORESCENTES - SIGNIFY,1.8,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALMACENES LA 14 SA,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,AC 19 28 80,"BOGOTA, D. C.","BOGOTA, D. C.",4.61718,-74.086589,601316.39,510413.21,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-07-30,11437,TONNER Y CARTUCHOS EN DESUSO,4.0,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,ALMACENES MAXIMOS SAS,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,AK 15 127 30,"BOGOTA, D. C.","BOGOTA, D. C.",4.704649,-74.042584,606184.78,520089.56,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-09-19,9387,TELEVISORES,152.0,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,ALMACENES MAXIMOS SAS,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,KR 24C 48 94 SUR,"BOGOTA, D. C.","BOGOTA, D. C.",4.57838,-74.12987,596520.47,506117.86,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-07-18,10071,TONNER EN DESUSO,7.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ALMACENES MAXIMOS SAS,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 21 62 47,"BOGOTA, D. C.","BOGOTA, D. C.",4.650305,-74.070676,603076.83,514077.52,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-09-16,9145,DM - IMPRESORAS Y SCANNER,30.3,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ALMACENES MAXIMOS SAS,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,AC 183 45 01,"BOGOTA, D. C.","BOGOTA, D. C.",4.760795,-74.045553,605846.93,526296.21,18N
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,SI,2024-08-05,10889,OTROS INSTRUMENTOS DE VIGILANCIA Y CONTROL UTILIZADOS EN INSTALACIONES INDUSTRIALES,66.82,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALPHARMA S.A.,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,AUTOPISTA NORTE 103B - 35,"BOGOTA, D. C.","BOGOTA, D. C.",4.69111,-74.05709,604577.83,518590.6,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-03-28,10237,VENTILADORES ELECTRICOS,20.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ALPHARMA S.A.,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AC 116 70C 12,"BOGOTA, D. C.","BOGOTA, D. C.",4.699563,-74.072309,602888.5,519522.85,18N
2. Electrónica y Equipos de Telecomunicación,2.6 Equipos de electrónica de potencia,SI,2024-10-16,10301,UPS O FUENTES DE PODER,94.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ALTADIS FARMACEUTICA,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 10 65 28,"BOGOTA, D. C.","BOGOTA, D. C.",4.631045,-74.117997,597830.41,511941.6,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-05-12,9669,TERMINALES DE FAX,5.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALTAVISTA CENTRO COMERCIAL,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 6 65D 58 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.532581,-74.11174,598537.96,501057.23,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-02-09,11243,APARATOS ELECTRODOMESTICOS/HORNOS DE MICROONDAS,21.7,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALTEA FARMACEUTICA S.A,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 10 65 28,"BOGOTA, D. C.","BOGOTA, D. C.",4.631045,-74.117997,597830.41,511941.6,18N
3. Maquinaria y Equipo Eléctrico,3.11 Pilas y acumuladores,SI,2024-03-25,9401,BATERIAS DE LITIO,1858.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ALURA ANIMAL HEALTH,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AK 129 22B 57,"BOGOTA, D. C.","BOGOTA, D. C.",4.695534,-74.158355,593345.12,519065.37,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-06-01,9082,"OTROS PRODUCTOS O APARATOS UTILIZADOS PARA REGISTRAR O REPRODUCIR SONIDO O IMAGENES, INCLUIDAS LAS SEÑALES Y TECNOLOGIAS DE DISTRIBUCION DEL SONIDO E IMAGEN DE LA COMUNICACION",291.92,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,AMAREY NOVA MEDICAL S.A,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,TV 23 93 23,"BOGOTA, D. C.","BOGOTA, D. C.",4.680378,-74.05718,604569.44,517404.14,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-06-10,9073,TONNER Y CARTUCHOS EN DESUSO,4.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,AMBULANCIAS AÉREAS DE COLOMBIA S.A.S,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 103 26 - 92,"BOGOTA, D. C.","BOGOTA, D. C.",4.69114,-74.12992,596499.63,518583.47,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-03-22,10161,TELÉFONOS CONVENCIONALES,4.49,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Ana Milena Guevara Moreno,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 35 50 40 Sur,"BOGOTA, D. C.","BOGOTA, D. C.",4.586450973,-74.135793788,595862.24,507009.31,18N
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-06-24,11679,TUBOS FLUORESCENTES - SIGNIFY,1.8,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Angela María Vaca,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,CL 52 Sur 95A 10,"BOGOTA, D. C.","BOGOTA, D. C.",4.641072113,-74.184905705,590407.21,513041.2,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-02-29,10743,REPUESTOS O PARTES DE PC/PORTATILES,5.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,APIROS S.A.S,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 82 10 39,"BOGOTA, D. C.","BOGOTA, D. C.",4.665312,-74.052462,605095.01,515739.27,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-01-11,10192,OTROS GRANDES APARATOS UTILIZADOS PARA COCINAR Y EN OTROS PROCESOS DE TRANSFORMACION DE LOS ALIMENTOS. APARATOS DE CALEFACCION ELECTRICOS,89.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ASISTENCIA EN TIERRA AVIANCA AEROPUERTO EL DORADO,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 22F 103 09,"BOGOTA, D. C.","BOGOTA, D. C.",4.678374,-74.141568,595209.39,517170.6,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-11-05,10465,"RELOJES Y APARATOS DESTINADOS A MEDIR, INDICAR O REGISTRAR EL TIEMPO",19.83,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ASOCIACIÓN DE AMIGOS CONTRA EL CÁNCER PROSEGUIR CALLE 32,830143447-3,Ana Maria Suarez,test@portal80.com.co,AC 32 15 31,"BOGOTA, D. C.","BOGOTA, D. C.",4.620778,-74.071357,603005.57,510813.16,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-08-24,11633,Tonner De Impresora / Aprovechamiento,10.8,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ASOCIACIÓN DE AMIGOS CONTRA EL CÁNCER PROSEGUIR CRR 16,830143447-3,Ana Maria Suarez,test@portal80.com.co,KR 16 59 54,"BOGOTA, D. C.","BOGOTA, D. C.",4.647384,-74.067301,603451.63,513755.09,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-06-26,11582,OTROS GRANDES APARATOS UTILIZADOS PARA COCINAR Y EN OTROS PROCESOS DE TRANSFORMACION DE LOS ALIMENTOS,856.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ASOCIACIÓN NACIONAL DE DROGUISTAS DETALLISTAS - ASOCOLDRO,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,TV 27A 53B 13,"BOGOTA, D. C.","BOGOTA, D. C.",4.64407,-74.076264,602457.88,513387.42,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-09-30,11671,ASPIRADORAS,36.2,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,ASOCIACION NACIONAL DE LABORATORIOS DE PRODUCTOS VETERINARIOS,900836968-7,LEONARDO BENAVIDES,test@signify.com,CL 98 70 91,"BOGOTA, D. C.","BOGOTA, D. C.",4.69401,-74.07836,602218.15,518908.06,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-06-20,10694,"HERRAMIENTAS PARA ROCIAR, ESPARCIR, PROPAGAR O APLICAR OTROS TRATAMIENTOS CON SUSTANCIAS LÍQUIDAS O GASEOSAS POR OTROS MEDIOS",412.57,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ASPEN COLOMBIANA S.A,830143447-3,Ana Maria Suarez,test@portal80.com.co,CL 99 9A 54,"BOGOTA, D. C.","BOGOTA, D. C.",4.681245,-74.042585,606188.21,517502.18,18N
